City,State,Population
New York city, New York,8258035
Los Angeles city, California,3820914
Chicago city, Illinois,2664452
Houston city, Texas,2314157
Phoenix city, Arizona,1650070
Philadelphia city, Pennsylvania,1550542
San Antonio city, Texas,1495295
San Diego city, California,1388320
Dallas city, Texas,1302868
Jacksonville city, Florida,985843
Austin city, Texas,979882
Fort Worth city, Texas,978468
San Jose city, California,969655
Columbus city, Ohio,913175
Charlotte city, North Carolina,911311
Indianapolis city (balance), Indiana,879293
San Francisco city, California,808988
Seattle city, Washington,755078
Denver city, Colorado,716577
Oklahoma city, Oklahoma,702767
Nashville-Davidson metropolitan government, Tennessee,687788
Washington city, District of Columbia,678972
El Paso city, Texas,678958
Las Vegas city, Nevada,660929
Boston city, Massachusetts,653833
Detroit city, Michigan,633218
Portland city, Oregon,630498
Louisville/Jefferson County metro government (balance), Kentucky,622981
Memphis city, Tennessee,618639
Baltimore city, Maryland,565239
Milwaukee city, Wisconsin,561385
Albuquerque city, New Mexico,560274
Tucson city, Arizona,547239
Fresno city, California,545716
Sacramento city, California,526384
Mesa city, Arizona,511648
Atlanta city, Georgia,510823
Kansas City city, Missouri,510704
Colorado Springs city, Colorado,488664
Omaha city, Nebraska,483335
Raleigh city, North Carolina,482295
Miami city, Florida,455924
Virginia Beach city, Virginia,453649
Long Beach city, California,449468
Oakland city, California,436504
Minneapolis city, Minnesota,425115
Bakersfield city, California,413381
Tulsa city, Oklahoma,411894
Tampa city, Florida,403364
Arlington city, Texas,398431
Wichita city, Kansas,396119
Aurora city, Colorado,395052
New Orleans city, Louisiana,364136
Cleveland city, Ohio,362656
Urban Honolulu CDP, Hawaii,341778
Anaheim city, California,340512
Henderson city, Nevada,337305
Orlando city, Florida,320742
Lexington-Fayette urban county, Kentucky,320154
Stockton city, California,319543
Riverside city, California,318858
Corpus Christi city, Texas,316595
Irvine city, California,314621
Cincinnati city, Ohio,311097
Santa Ana city, California,310539
Newark city, New Jersey,304960
St. Paul city, Minnesota,303820
Pittsburgh city, Pennsylvania,303255
Greensboro city, North Carolina,302296
Durham city, North Carolina,296186
Lincoln city, Nebraska,294757
Jersey City city, New Jersey,291657
Plano city, Texas,290190
Anchorage municipality, Alaska,286075
North Las Vegas city, Nevada,284771
St. Louis city, Missouri,281754
Madison city, Wisconsin,280305
Chandler city, Arizona,280167
Gilbert town, Arizona,275411
Reno city, Nevada,274915
Buffalo city, New York,274678
Chula Vista city, California,274333
Fort Wayne city, Indiana,269994
Lubbock city, Texas,266878
Toledo city, Ohio,265304
St. Petersburg city, Florida,263553
Laredo city, Texas,257602
Irving city, Texas,254373
Chesapeake city, Virginia,253886
Glendale city, Arizona,253855
Winston-Salem city, North Carolina,252975
Port St. Lucie city, Florida,245021
Scottsdale city, Arizona,244394
Garland city, Texas,243470
Boise City city, Idaho,235421
Norfolk city, Virginia,230930
Spokane city, Washington,229447
Richmond city, Virginia,229247
Fremont city, California,226208
Huntsville city, Alabama,225564
Frisco city, Texas,225007
Cape Coral city, Florida,224455
Santa Clarita city, California,224028
San Bernardino city, California,223728
Tacoma city, Washington,222906
Hialeah city, Florida,221300
Baton Rouge city, Louisiana,219573
Modesto city, California,218915
Fontana city, California,215465
McKinney city, Texas,213509
Moreno Valley city, California,212392
Des Moines city, Iowa,210381
Fayetteville city, North Carolina,209749
Salt Lake City city, Utah,209593
Yonkers city, New York,207657
Worcester city, Massachusetts,207621
Rochester city, New York,207274
Sioux Falls city, South Dakota,206410
Little Rock city, Arkansas,203842
Amarillo city, Texas,202408
Tallahassee city, Florida,202221
Grand Prairie city, Texas,202134
Columbus city, Georgia,201877
Augusta-Richmond County consolidated government (balance), Georgia,200884
Peoria city, Arizona,198750
Oxnard city, California,198488
Knoxville city, Tennessee,198162
Overland Park city, Kansas,197089
Birmingham city, Alabama,196644
Grand Rapids city, Michigan,196608
Vancouver city, Washington,196442
Montgomery city, Alabama,195287
Huntington Beach city, California,192129
Providence city, Rhode Island,190792
Brownsville city, Texas,190158
Tempe city, Arizona,189834
Akron city, Ohio,188701
Glendale city, California,187050
Chattanooga city, Tennessee,187030
Fort Lauderdale city, Florida,184255
Newport News city, Virginia,183118
Mobile city, Alabama,182595
Ontario city, California,182457
Clarksville city, Tennessee,180716
Cary town, North Carolina,180010
Elk Grove city, California,178444
Shreveport city, Louisiana,177959
Eugene city, Oregon,177899
Aurora city, Illinois,177563
Salem city, Oregon,177432
Santa Rosa city, California,175845
Rancho Cucamonga city, California,174405
Pembroke Pines city, Florida,171119
Fort Collins city, Colorado,170376
Springfield city, Missouri,170188
Oceanside city, California,170020
Garden Grove city, California,168234
Lancaster city, California,166236
Murfreesboro city, Tennessee,165430
Palmdale city, California,161404
Corona city, California,160238
Killeen city, Texas,159643
Salinas city, California,159506
Roseville city, California,159135
Denton city, Texas,158349
Surprise city, Arizona,158285
Macon-Bibb County, Georgia,156512
Paterson city, New Jersey,156452
Lakewood city, Colorado,155961
Hayward city, California,155675
Charleston city, South Carolina,155369
Alexandria city, Virginia,155230
Hollywood city, Florida,153859
